[2025-11-07T04:50:13.846949] LAT:12.971099, LON:79.155084, ALT:312.2, SPD:1.08, SAT:6, BAT:3.9, RSSI:-47
[2025-11-07T04:50:13.179075] LAT:12.968157, LON:79.156879, ALT:314.5, SPD:1.33, SAT:7, BAT:3.875, RSSI:-71
[2025-11-07T04:50:10.896107] LAT:12.970031, LON:79.157196, ALT:313.1, SPD:1.16, SAT:8, BAT:3.898, RSSI:-61
[2025-11-07T04:50:10.667526] LAT:12.968149, LON:79.156886, ALT:309.6, SPD:2.23, SAT:5, BAT:3.875, RSSI:-51
[2025-11-07T04:50:08.381798] LAT:12.970024, LON:79.157204, ALT:310.3, SPD:1.45, SAT:5, BAT:3.898, RSSI:-69
[2025-11-07T04:50:08.153753] LAT:12.96814, LON:79.15689, ALT:314.5, SPD:1.58, SAT:6, BAT:3.875, RSSI:-71
[2025-11-07T04:50:05.865883] LAT:12.970018, LON:79.157212, ALT:310.9, SPD:1.26, SAT:5, BAT:3.899, RSSI:-45
[2025-11-07T04:50:05.630429] LAT:12.96813, LON:79.156892, ALT:314.8, SPD:0.64, SAT:8, BAT:3.875, RSSI:-66
[2025-11-07T04:50:03.348314] LAT:12.970009, LON:79.157217, ALT:305.1, SPD:0.93, SAT:7, BAT:3.899, RSSI:-68
[2025-11-07T04:50:03.115524] LAT:12.968121, LON:79.156895, ALT:310.6, SPD:0.9, SAT:5, BAT:3.876, RSSI:-68
[2025-11-07T04:50:00.828011] LAT:12.969999, LON:79.157219, ALT:310.7, SPD:2.44, SAT:6, BAT:3.899, RSSI:-57
[2025-11-07T04:50:00.597153] LAT:12.968111, LON:79.156895, ALT:310.4, SPD:2.07, SAT:5, BAT:3.876, RSSI:-54
[2025-11-07T04:49:58.310175] LAT:12.969989, LON:79.157218, ALT:308.6, SPD:2.46, SAT:6, BAT:3.899, RSSI:-57
[2025-11-07T04:49:58.080710] LAT:12.968101, LON:79.156898, ALT:314.4, SPD:2.4, SAT:5, BAT:3.876, RSSI:-48
[2025-11-07T04:49:55.796181] LAT:12.96998, LON:79.157223, ALT:308.6, SPD:1.41, SAT:7, BAT:3.899, RSSI:-49
[2025-11-07T04:49:55.564569] LAT:12.968092, LON:79.156901, ALT:313.1, SPD:1.79, SAT:5, BAT:3.876, RSSI:-51
[2025-11-07T04:49:53.275019] LAT:12.969971, LON:79.157225, ALT:314.6, SPD:1.61, SAT:7, BAT:3.9, RSSI:-66
[2025-11-07T04:49:53.046780] LAT:12.968082, LON:79.156904, ALT:314.1, SPD:1.62, SAT:9, BAT:3.876, RSSI:-61
[2025-11-07T04:49:50.532319] LAT:12.968075, LON:79.156911, ALT:314.6, SPD:2.19, SAT:7, BAT:3.876, RSSI:-53
[2025-11-07T04:49:48.774508] LAT:12.970068, LON:79.155634, ALT:309.7, SPD:1.04, SAT:6, BAT:3.899, RSSI:-47
[2025-11-07T04:49:48.016290] LAT:12.968066, LON:79.156916, ALT:306.6, SPD:2.38, SAT:5, BAT:3.877, RSSI:-72
[2025-11-07T04:49:46.258886] LAT:12.970078, LON:79.155637, ALT:314.7, SPD:2.33, SAT:5, BAT:3.899, RSSI:-67
[2025-11-07T04:49:45.503185] LAT:12.968057, LON:79.156918, ALT:311.8, SPD:1.32, SAT:8, BAT:3.877, RSSI:-66
[2025-11-07T04:49:43.741342] LAT:12.970087, LON:79.15564, ALT:313.0, SPD:2.3, SAT:6, BAT:3.899, RSSI:-52
[2025-11-07T04:49:42.986209] LAT:12.968047, LON:79.156918, ALT:310.0, SPD:0.88, SAT:6, BAT:3.877, RSSI:-68
[2025-11-07T04:49:41.226275] LAT:12.970096, LON:79.155644, ALT:309.6, SPD:0.82, SAT:6, BAT:3.899, RSSI:-55
[2025-11-07T04:49:40.470017] LAT:12.968038, LON:79.156913, ALT:312.9, SPD:1.07, SAT:9, BAT:3.877, RSSI:-69
[2025-11-07T04:49:38.713544] LAT:12.970106, LON:79.155647, ALT:311.7, SPD:1.29, SAT:5, BAT:3.899, RSSI:-68
[2025-11-07T04:49:37.956971] LAT:12.968028, LON:79.156914, ALT:313.2, SPD:0.89, SAT:9, BAT:3.877, RSSI:-54
[2025-11-07T04:49:36.201424] LAT:12.970116, LON:79.155649, ALT:308.3, SPD:1.47, SAT:7, BAT:3.9, RSSI:-72
[2025-11-07T04:49:35.442127] LAT:12.968018, LON:79.156912, ALT:313.6, SPD:1.14, SAT:5, BAT:3.878, RSSI:-52
[2025-11-07T04:49:33.683429] LAT:12.970125, LON:79.155652, ALT:309.5, SPD:0.54, SAT:8, BAT:3.9, RSSI:-54
[2025-11-07T04:49:32.926887] LAT:12.968008, LON:79.156914, ALT:311.3, SPD:2.15, SAT:7, BAT:3.878, RSSI:-59
[2025-11-07T04:49:30.411065] LAT:12.968, LON:79.156921, ALT:309.0, SPD:1.94, SAT:8, BAT:3.878, RSSI:-70
[2025-11-07T04:49:27.894058] LAT:12.967992, LON:79.156926, ALT:305.7, SPD:0.62, SAT:5, BAT:3.878, RSSI:-50
[2025-11-07T04:49:25.378821] LAT:12.967987, LON:79.156935, ALT:310.1, SPD:1.4, SAT:5, BAT:3.878, RSSI:-49
[2025-11-07T04:49:22.852626] LAT:12.96798, LON:79.156942, ALT:305.8, SPD:2.05, SAT:8, BAT:3.878, RSSI:-63
[2025-11-07T04:49:20.327260] LAT:12.967971, LON:79.156946, ALT:312.0, SPD:1.29, SAT:5, BAT:3.878, RSSI:-53
[2025-11-07T04:49:17.817024] LAT:12.967962, LON:79.156949, ALT:311.3, SPD:0.83, SAT:8, BAT:3.879, RSSI:-45
[2025-11-07T04:49:15.304703] LAT:12.967954, LON:79.156955, ALT:314.0, SPD:0.96, SAT:9, BAT:3.879, RSSI:-50
[2025-11-07T04:49:12.790889] LAT:12.967947, LON:79.156963, ALT:306.3, SPD:1.11, SAT:7, BAT:3.879, RSSI:-45
[2025-11-07T04:49:10.274797] LAT:12.967945, LON:79.156972, ALT:305.7, SPD:0.94, SAT:5, BAT:3.879, RSSI:-68
[2025-11-07T04:49:07.760265] LAT:12.967939, LON:79.156981, ALT:305.9, SPD:0.88, SAT:5, BAT:3.879, RSSI:-65
[2025-11-07T04:49:05.244955] LAT:12.967931, LON:79.156986, ALT:310.2, SPD:0.76, SAT:5, BAT:3.88, RSSI:-61
[2025-11-07T04:49:02.729391] LAT:12.967921, LON:79.156987, ALT:306.4, SPD:1.84, SAT:5, BAT:3.88, RSSI:-62
[2025-11-07T04:49:00.216297] LAT:12.967913, LON:79.156993, ALT:310.9, SPD:2.09, SAT:6, BAT:3.88, RSSI:-47
[2025-11-07T04:48:57.702213] LAT:12.967905, LON:79.156999, ALT:306.0, SPD:0.67, SAT:6, BAT:3.88, RSSI:-55
